Artist,Track,User,Rating,Time
40,179,47994,9,17
9,23,8575,58,7
46,168,45475,13,16
11,153,39508,42,15
14,32,11565,54,19
31,79,27130,37,11
21,48,19623,69,21
2,174,47505,28,17
12,34,15290,12,8
28,73,24151,70,22
0,151,40578,32,15
2,68,24681,38,22
33,85,26346,20,11
16,135,35096,33,12
22,129,32782,32,0
15,33,11451,5,19
46,166,44660,31,16
31,80,25922,10,11
26,63,23953,18,22
3,10,4515,48,18
9,23,6078,33,7
39,106,32078,46,23
41,156,42274,54,16
0,0,1205,57,6
44,162,41883,32,16
47,171,46134,3,4
22,112,32463,70,0
30,78,24886,42,22
34,86,28123,28,23
35,89,28264,7,23
21,49,19042,39,21
37,98,31485,56,23
10,143,35459,53,12
14,95,29555,17,23
10,143,34101,10,12
28,72,22725,48,22
40,176,50886,49,17
44,162,42644,47,16
2,174,50233,10,17
6,14,6314,14,7
4,11,37978,52,13
21,60,21356,22,22
21,51,19715,43,21
26,67,23470,29,22
46,168,43454,25,16
27,71,23298,4,22
6,16,5993,30,7
39,104,32155,92,23
49,182,48762,92,17
4,12,4447,51,18
16,136,35040,20,12
26,66,24066,36,22
9,23,8588,45,7
22,125,33184,48,0
0,2,734,32,6
21,60,21680,44,22
22,55,20531,69,21
46,168,44297,18,16
2,175,49461,49,17
21,49,20003,28,21
41,156,41286,4,16
0,150,39766,49,15
30,76,21950,30,22
16,137,35090,36,12
10,25,7954,48,7
15,42,16967,11,9
22,128,32495,14,0
48,172,48405,9,17
2,175,49325,50,17
20,44,19113,44,21
20,45,18533,33,21
1,4,2691,19,18
35,90,29841,50,23
21,50,19617,40,21
21,51,19442,50,21
0,1,38626,90,15
23,57,20789,27,21
29,75,24697,62,22
6,14,6388,7,7
30,77,24620,39,22
11,153,39802,13,15
1,4,1837,25,18
31,79,27432,30,11
2,70,24881,39,22
11,154,39564,42,15
45,164,44680,55,16
28,72,23931,51,22
4,11,5427,89,18
36,93,31509,29,23
26,65,22355,49,22
6,16,6944,49,7
2,7,3802,51,18
47,170,45871,50,4
16,134,33822,32,12
21,48,20149,51,21
40,180,50441,43,17
46,168,43609,46,16
37,101,31316,2,23
20,44,17662,50,21
22,55,32776,30,0
10,145,35913,51,12
11,28,7677,12,7
22,127,32219,8,0
40,146,36202,29,13
42,157,41362,28,16
22,130,32280,14,0
44,162,42371,10,16
45,163,44193,82,16
26,63,23492,11,22
16,35,14977,46,8
1,4,2032,29,18
45,163,43984,57,16
11,152,38980,73,15
34,86,28316,48,23
30,77,22228,26,22
11,152,38517,52,15
24,58,19717,2,21
1,5,2456,37,18
45,163,44535,40,16
21,50,19703,23,21
0,151,40744,48,15
37,100,29418,51,23
26,66,22726,70,22
37,97,28299,31,23
7,19,8675,50,7
13,31,12233,10,19
6,15,6794,49,7
42,158,41761,7,16
0,1,1652,30,6
22,54,20779,52,21
46,165,44078,2,16
10,143,34627,26,12
15,33,11971,17,19
28,72,23858,48,22
16,138,33925,31,12
22,118,33075,56,0
26,61,23683,72,22
33,85,34410,1,12
37,99,29682,4,23
10,25,9004,69,7
0,2,468,29,6
14,95,30910,28,23
16,139,33749,41,12
23,56,18332,100,21
26,61,23726,49,22
20,44,18501,10,21
20,44,18955,11,21
28,72,24577,8,22
17,36,15984,43,8
30,78,24375,9,22
22,116,32632,83,0
45,163,44563,54,16
10,140,35139,22,12
40,176,50884,32,17
44,162,42761,32,16
10,26,6454,30,7
6,148,38640,34,15
6,14,6143,32,7
39,106,31512,65,23
22,117,32886,74,0
14,96,29268,37,23
1,4,2574,10,18
44,161,43112,18,16
3,9,2523,16,18
23,57,19118,70,21
21,22,18422,45,21
22,130,33032,10,0
26,66,23183,14,22
0,1,39700,29,15
0,151,40613,12,15
30,76,24957,5,22
39,106,30236,4,23
30,78,23247,32,22
10,140,33687,10,12
21,48,18261,28,21
21,47,18145,64,21
45,164,44390,10,16
3,10,4283,54,18
15,33,11649,29,19
46,165,45301,31,16
40,176,49286,79,17
16,135,33635,30,12
39,106,31187,47,23
14,95,30401,52,23
22,130,32640,13,0
0,2,501,67,6
1,4,1833,18,18
20,45,19047,24,21
14,96,31774,1,23
35,92,30449,50,23
44,161,41888,49,16
21,48,18262,13,21
5,13,5367,26,18
48,172,47748,70,17
